repo_name,function_name,language,file_path,line,signature_excerpt,visibility,invocation_type,called_by,reference_count,string_reference_count,live_confidence,notes,owner_review,status
Solution,waitForApi,ts,e2e/base.ts,51,"export async function waitForApi(page: Page, namespace: string): Promise<void> {",public,Direct,"e2e/accounts.spec.ts (3 call refs, 0 string refs); e2e/git.spec.ts (1 call refs, 0 string refs); e2e/llm.spec.ts (1 call refs, 0 string refs); e2e/workspace-routing.spec.ts (2 call refs, 0 string refs); e2e/provider-policy.spec.ts (2 call refs, 0 string refs); e2e/journal.spec.ts (2 call refs, 0 string refs); e2e/audit.spec.ts (2 call refs, 0 string refs)",13,0,high,,,
Solution,writeJson,ts,e2e/regression/approval-audit-compliance.spec.ts,114,"async function writeJson(filePath: string, value: unknown): Promise<void> {",test-only,Test,"src/llm/experience-db.js (3 call refs, 0 string refs); e2e/regression/workspace-policy-context-routing.spec.ts (11 call refs, 0 string refs); e2e/smoke/account-rotation-ai-capture.spec.ts (10 call refs, 0 string refs)",24,0,medium,,,
Solution,createIsolatedState,ts,e2e/regression/approval-audit-compliance.spec.ts,119,async function createIsolatedState(): Promise<TestState> {,test-only,Test,"e2e/regression/workspace-policy-context-routing.spec.ts (2 call refs, 0 string refs); e2e/smoke/account-rotation-ai-capture.spec.ts (2 call refs, 0 string refs)",4,0,medium,,,
Solution,writeJson,ts,e2e/regression/workspace-policy-context-routing.spec.ts,95,"async function writeJson(filePath: string, value: unknown): Promise<void> {",test-only,Test,"src/llm/experience-db.js (3 call refs, 0 string refs); e2e/regression/approval-audit-compliance.spec.ts (11 call refs, 0 string refs); e2e/smoke/account-rotation-ai-capture.spec.ts (10 call refs, 0 string refs)",24,0,medium,,,
Solution,createIsolatedState,ts,e2e/regression/workspace-policy-context-routing.spec.ts,100,async function createIsolatedState(): Promise<TestState> {,test-only,Test,"e2e/regression/approval-audit-compliance.spec.ts (2 call refs, 0 string refs); e2e/smoke/account-rotation-ai-capture.spec.ts (2 call refs, 0 string refs)",4,0,medium,,,
Solution,writeJson,ts,e2e/smoke/account-rotation-ai-capture.spec.ts,98,"async function writeJson(filePath: string, value: unknown): Promise<void> {",test-only,Test,"src/llm/experience-db.js (3 call refs, 0 string refs); e2e/regression/workspace-policy-context-routing.spec.ts (11 call refs, 0 string refs); e2e/regression/approval-audit-compliance.spec.ts (11 call refs, 0 string refs)",25,0,medium,,,
Solution,createIsolatedState,ts,e2e/smoke/account-rotation-ai-capture.spec.ts,103,async function createIsolatedState(): Promise<TestState> {,test-only,Test,"e2e/regression/workspace-policy-context-routing.spec.ts (2 call refs, 0 string refs); e2e/regression/approval-audit-compliance.spec.ts (2 call refs, 0 string refs)",4,0,medium,,,
Solution,seedAccount,ts,e2e/smoke/account-rotation-ai-capture.spec.ts,196,"async function seedAccount(state: TestState, page: import(""@playwright/test"").Page): Promise<SeededAccount> {",test-only,Test,,0,0,medium,"No external references found; review for dead code, reflection, or framework wiring.",,
Solution,loadIcon,js,electron-tray/main.js,31,function loadIcon(state) {,internal,CLI,,0,0,high,"No external references found; review for dead code, reflection, or framework wiring.",,
Solution,getStateFromAccounts,js,electron-tray/main.js,36,function getStateFromAccounts(accounts) {,internal,CLI,,0,0,high,"No external references found; review for dead code, reflection, or framework wiring.",,
